event_id,store_id,channel,message,event_type,severity,sentiment,requires_response,recommended_action
train-0001,store-alpha,counter,고객이 아이스 아메리카노 환불 처리가 지연되어 강하게 항의했습니다. 운영자는 처리 상태를 기록해야 합니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,refund,high,negative,true,결제 내역 확인 후 환불 절차 안내
train-0002,store-beta,phone,전화 문의 주문이 9분 이상 지연되어 고객이 픽업 시간을 문의했습니다.,delay,medium,negative,true,예상 대기 시간 안내
train-0003,store-gamma,mobile_order,고객이 샐러드 온도가 기대보다 낮다고 품질 확인을 요청했습니다.,quality,medium,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0004,store-delta,staff_app,주문에는 도시락 옵션이 포함되어 있지만 실제 상품에는 반영되지 않았습니다.,order_issue,medium,negative,true,주문 내역과 실제 제공 상품 대조
train-0005,store-alpha,delivery,직원이 창고 점검 중 세트 메뉴 재고 수량이 예상보다 적다고 기록했습니다.,staff_note,low,neutral,true,직원 인수인계 기록 확인
train-0006,store-beta,counter,고객이 매장 음악 소리가 커서 주문 확인이 어렵다고 불만을 제기했습니다.,complaint,medium,negative,true,매장 환경 점검
train-0007,store-gamma,phone,매장 바닥에 음료가 쏟아져 고객이 미끄러질 위험이 있습니다.,safety,high,negative,true,사고 위험 구역 표시 및 관리자 보고
train-0008,store-delta,mobile_order,샌드위치 재고가 부족해 이후 주문 처리에 지연 가능성이 있습니다.,inventory,medium,neutral,true,대체 상품 안내
train-0009,store-alpha,staff_app,직원 앱에서 결제 취소가 반영되지 않아 고객이 환불 상태 확인을 요청했습니다.,refund,medium,negative,true,주문 번호 확인 후 취소 상태 확인
train-0010,store-beta,delivery,배달 기사 도착 후에도 디저트 준비가 끝나지 않아 지연 안내가 필요합니다.,delay,high,negative,true,지연 원인 확인 후 고객에게 공지
train-0011,store-gamma,counter,포장 상태가 불량해 샐러드 내용물이 새었다는 문의가 들어왔습니다. 운영자는 처리 상태를 기록해야 합니다.,quality,high,negative,true,상품 상태 확인 후 교환 또는 보상 안내
train-0012,store-delta,phone,배달 주문에서 사이드 메뉴 1개가 누락되어 고객이 빠른 재배송을 요청했습니다.,order_issue,high,negative,true,주문 내역과 실제 제공 상품 대조
train-0013,store-alpha,mobile_order,마감 근무자가 냉장고 온도 기록표가 비어 있어 확인이 필요하다고 남겼습니다.,staff_note,low,neutral,false,직원 인수인계 기록 확인
train-0014,store-beta,staff_app,고객이 직원 안내가 충분하지 않아 다시 설명을 요청했습니다.,complaint,low,negative,true,고객 불편 내용 확인 후 응대 기록
train-0015,store-gamma,delivery,고객이 입구 근처에서 넘어짐 사고를 겪어 안전 확인이 필요합니다.,safety,high,negative,true,즉시 현장 안전 조치
train-0016,store-delta,counter,인기 메뉴 원재료가 예상보다 빨리 소진되어 품절 안내가 필요합니다. 고객 응대 시간이 길어지지 않도록 우선순위 확인이 필요합니다.,inventory,high,neutral,true,대체 상품 안내
